Lat,Lon,Title,Province/State,X.1,Country/Region,Confirmed,Deaths,Recovered
46.441472,11.282121,"Trentino Alto Adige, Italy",Trentino Alto Adige,", ",Italy,1,0,0
40.9842539,16.6210027,"Puglia, Italy",Puglia,", ",Italy,4,0,0
39.0565974,16.5249864,"Calabria , Italy",Calabria ,", ",Italy,1,0,0
43.3458388,13.1415872,"Marche, Italy",Marche,", ",Italy,35,0,0
42.227681,13.854983,"Abruzzo, Italy",Abruzzo,", ",Italy,5,0,0
46.151042,13.055904,"Friuli Venezia Giulia, Italy",Friuli Venezia Giulia,", ",Italy,9,0,0
42.965916,12.490236,"Umbria, Italy",Umbria,", ",Italy,2,0,0
40.860672,14.843984,"Campania, Italy",Campania,", ",Italy,17,0,0
37.5667573,14.2807473,"Italy, City NA",Italy,", ",City NA,464,50,110
51.5646386,-0.1076647,"United Kingdom, City NA",United Kingdom,", ",City NA,51,0,8
28.2935785,-16.6214471,"Canary Islands, Spain",Canary Islands,", ",Spain,8,0,1
41.3828939,2.1774322,"Barcelona, Spain",Barcelona,", ",Spain,14,0,0
40.4167047,-3.7035825,"Madrid, Spain",Madrid,", ",Spain,56,0,0
37.3886303,-5.9953403,"Sevilla, Spain",Sevilla,", ",Spain,2,0,0
42.8443172,-2.6822032,"Alava, Spain",Alava,", ",Spain,8,0,0
36.508976,-4.88562,"Marbella, Spain",Marbella,", ",Spain,3,0,0
36.5387779,-4.6233348,"Fuengirola, Spain",Fuengirola,", ",Spain,3,0,0
36.8414197,-2.4628135,"Almeria, Spain",Almeria,", ",Spain,1,0,0
37.9740992,-4.1068464,"Arjonilla, Spain",Arjonilla,", ",Spain,1,0,0
39.6791712,-0.2774146,"Sagunto, Spain",Sagunto,", ",Spain,1,0,0
40.1473261,-3.904923,"Villarreal , Spain",Villarreal ,", ",Spain,1,0,0
42.8184538,-1.6442556,"Pamplona, Spain",Pamplona,", ",Spain,2,0,0
43.1445278,-2.2037955,"Gipuzkoa, Spain",Gipuzkoa,", ",Spain,2,0,0
43.135837,-4.2636327,"Cantabria, Spain",Cantabria,", ",Spain,10,0,0
43.2710211,-5.8539063,"Asturias, Spain",Asturias,", ",Spain,1,0,0
28.1219416,-16.7241893,"Adeje, Spain",Adeje,", ",Spain,5,0,0
41.6521328,-4.728562,"Valladolid, Spain",Valladolid,", ",Spain,1,0,0
42.6341451,-5.9714151,"Leon, Spain",Leon,", ",Spain,1,0,0
